	ID	Comment
162	  겸둥피카츄	뭔가 표정이 항상 부자연스러워보여ㅜㅜ.. 유진이나 다른멤버처럼 편안한 표정이나 느낌이 아님..아직 어리고 풋풋해서 저런 표정 안해도 예쁜디..
163	  장영재	원영이 하고싶은거 다해 ㅎㅎ
164	  am12:17	일레븐 무대 영상 보면 다른 멤버들도 다 갸륵표정 짓는데…?ㅠ
165	  오민석	힘들겠다…고작 표정하나 맘에 안 든다고 욕 먹네;;  어린 나이에 열심히 사는 게 대단하기만 한데
166	  왕관	난 갸륵한 표정이 좋아 너무 예쁘고 깜찍함 고풍스러움
167	  뭐불만있냥	ㅠㅠㅠ진짜 나도 좋아ㅠㅠ 이쁜데에ㅜ
168	  심심	얼굴은 참 예쁜데 왠지 모르게 어색하게 느껴지는건 나만 그런가..
169	  k	그냥 난 다 예뻐서 좋던데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 연예인중에 저런 표정 짓는 사람도 있어야지
170	  귀욤이	갸르륵
171	  피자스쿨졸업생	본인이 좋다는데 무슨 표정 짓든 상관없지 뭐. 안티말고 몇몇 팬중에서도 충분히 예쁜데 표정 때문에 예쁜 얼굴 죽는다는 느낌으로 말하시기도 하는데 그런 것도 요즘 세상엔 다 오지랖이라
172	  dbxbqm	아이돌이 해야 할 노래랑 춤 잘 하면 표정이 어떻든 뭐라 안 할텐데 본업을 못 하고 표정만 저러니까 욕 먹는 거겠지....
173	  HJ	조금 거북함 정말로………ㅠ 저런 작위적인 느낌은 오래 못 감….자연스러운 게 오래감
174	  나니냐냐아	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ오래가면 어쩌시려고 그러세요 쪽팔리니까 댓지우세요 ㅋㅋㅋ
175	  J2J	 @나니냐냐아  니나 댓지우세요ㅋㅋ 내가 다 쪽팔림
176	  좌좌	 @나니냐냐아  원영빠 ㅜ
177	  Sooki	가끔만좀 하지.. 자연스런표정없이 맨날 저러니 로보튼가 싶음
178	  one	풋풋하기만해도 ㅈㄴ 이쁜얼굴인데 나이들고 완숙한 어른표정을 지으니까 간혹 보는사람이 부조화 오는듯
179	  밈	첫 번째로는 눈을 희미하게 뜸. 초롱초롱한 눈망울이랑 끝에만 살짝 보이는 예쁜 쌍꺼풀 라인이 진짜 매력이었는데 쌍꺼풀이야 수술했으니 어쩔 수 없고 눈에 힘 좀 줬으면 좋겠음…두 번째로는 입을 자꾸 벌림… 계속 입을 벌리고 있으니 자연스러워보이지 않고 그냥 나 예쁘지? 하는 바비인형같음.
180	  R	몽환적인느낌 살릴라고 저러는것같은데 ㅋㅋ 근데 일반인 입장에서보면 가수 배우 이런사람아닌이상 평생 한번도 보기힘든 표정을 하니까 위화감이 들긴하는듯 ㅋㅋㅋㅋ
181	  최연준	걍 혼자 틱톡 찍고 있는 느낌..
182	  이뷸	신기하다 따라해볼라해도 뭔 얼굴근육을 어떻게 써야되는지도모르게따 이게 연예인인가
183	  イチズ一途	ㅋㅋㅋ레몬 한통먹은 표정
184	  김진호	워낙 예뻐서 무표정으로 해도 얼굴이 다채로울 것 같은데
185	  guts cok	너무 부담스럽긴 해. 눈이랑 입꼬리랑 ㅜㅜ 자연스럽게만 해주면 좋겠어
186	  이쁨	첨에는 ㅈㄴ킹받앗는데 이제 중독됨
187	  럽럽	둘이 친해지기도 하고 아직 장원영 어리잔음...이쁘면 따라할 수 있다고 생각하는뒝...따라하는건 좋지만 본인 색깔 잃지않길 진짜 근데 둘다 이버서ㅠ
188	  이 구역 미친 게딱지볶음밥	얼굴 신경쓸 시간에 노래 좀 제대로 불러줘
189	  alicia kwak	자꾸 얼굴만 슬로우모션걸린거 같은 표정 ㅋ
190	  BJ Lee	이쁜 애가 저렇게 비호감이기도 힘든데.. 그 힘든걸 해내내.. 저 애가..
191	  Jw	그냥 뭘해도ㅜㅈㄴ 예쁘고 뭐라할 생각도 없는데 댓으로 몰매맞는거 보면 좀 안타깝긴함… 그정도는 아닌것같은제
192	  아무리생강캐도난마늘	사람이 표정짓는거로도 욕먹어야 되나 싶다 싸발 ..
193	  H	"눈썹 들썩 저거 왜 하는 거지,,,"
194	  myeongseob Han	예쁜건 알겠는데 부담.. 소속서에서 누가 훈련시킨건가..
195	  김현민	그냥 자연스러운게 더 예쁜데 저 표정은 뭔가 진짜 부자연스럽다
196	  jh	걍이쁨 ㅋㅋ
197	  임Y	걍 존나 이쁜디 뭐가 문제지?
198	  밤길 조심하세요.	진짜 성형전이 얼굴로 저런표정했으면 자연스럽고 귀여웠을텐데 지금은 뭔… 별로임 왜 성형한거지 진짜 이해 안감
199	  박세빈	이쁘고 좋기만한데 욕하는 애들은.... ㅋㅋㅋㅋㅋ 어떤 사람들일지 예상이 가네요~
200	  ㅇㅇ	ㅈㄴ 웃기내 ㅋㅋ
201	  진심	근데 장원영은 진짜 반 묶음이나 아예 머리를 푸는 스타일 밖에 잘 못 본 것 같음 장원영 머리 묶은거 보고 싶다
202	  마음부자	뮤직뱅크 직캠에 묶는 스타일 있어요
203	  지뢰찾기	난별로 아무생각안드는데 사람들이 너무 오바하는것같기도 함..
204	  YoungCreatorForever	발연기하는 연기자 보는것 같은 기분이 드는건 왜일까?
205	  졔리Jelly	킹받아.. 나이 답게 하면 안되나
206	  방뎅	진짜 이쁘긴 개이쁘네
207	  헤헤뇽	성덕여왕 미실
208	  유유우	아이돌...이쁜 척하는게 직업인데..그걸 가지고 별로라하면 덜 이쁜 척까지 해야 되는구만..안쓰럽다ㅠㅠ
209	  BLING A	근데 자기가 남들보다 우월하다 생각하면 그게 표정에서 나온다 ... 괜히 사람들이 거북하게 느끼는게 아냐
210	  BLING A	더해서 사랑받고 싶어서 예쁘게 보이고 싶어하는 사람은 사랑해주고싶은데 나 예쁘지? ㅋ 이런표정은 그 누구라도 싫을듯
211	  Sim 짱구	갸륵이고 뭐고 걍 예쁜데
212	  이힝	갸륵이고 뭐고 예쁘기만 하구만...자기가 좋으면 하는거지 자기들이 무슨 권리로 인위적이니 마니 악플을 달지?
213	  맘그니	쌍꺼풀 수술을 하니 눈매가 고아라 같음…본인은 귀엽던 예전 눈매에 비해 지금 시원스럽고 여성스러운 눈매가 무척 맘에들고 뽐내고 싶은듯
214	  현아	예쁘기만하고 그냥 애기인데ㅠㅠ 너무악플심함
215	  gaga j	저 표정만 안 하면 이쁜데 안타까워
216	  킹받는o3o	갸륵한 표정이 대체 뭔데ㅋㅋㅋㅅㅂ 일반인이 저런 표정 지으면  꺅소리 낼거면서ㅋㄱㅋ얼굴로는 차마 못 까니까 표정 가지고 뭐라하는 거 진짜 추하다 그럼 저 컨셉에서 혼자 갑자기 걸크러쉬표정 지음? ㅋㅋㅋㅋㅋㅋㅋ프듀때 잠깐 본 게 다라서 장원영이 어떤 사람인지 잘 모르는데 표정 가지고 까이는 거 진짜 너무 웃김
217	  도리감자	귀엽구 예쁘기만 한뎅
218	  김미숙	장원영 갸륵한 표정 싫으면 그냥 소비를 안 하면 될텐데..
219	  슈슈	송지아는 표정이 섹시하고 묘한데 장원영은 표정이 짜증나네 ㅋㅋㅋ자연스럽지가 않어
220	  한줌	다른곡 나오면 컨셉에 맞는 표정 또 나오겠지 벌써 질리나
221	  슈크림𖤐	"여러분..이건 갸륵한게 아니라, 예쁜검미당ㅎ"
222	  기쁜데 .슬프다	눈썹각도...눈빛....그냥 눈...눈...눈....가만히 냅도!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
223	  냥복	"참 별걸로 아이돌한테 지랄떤다는 생각밖에 안듦,,"
224	  여름	걍 개예쁜데
225	  랄라라	이쁜척은 세계최고 인듯 너무 이쁨 ㅎㅎㅎㅎㅎㅎ
226	  イチズ一途	애 다른영상보니까 사쿠라한테 살짝 안들리게 나쁜말하더만 엮시 화교는 틀리네 조선족이야 한국인이지만 화교는 100프로 중국인
227	  ㅇ	요즘 연예인들 별거아닌거 가지고 트집 오지게 잡힘ㅋㅋㅋㅋ
228	  엔티제	라이브 까는건 그렇다 치는데 이런 억까는 좀 에반듯 깔것만 까자
229	  짐벌  ASMR	잘 보고 갑니다 좋아요.
230	  ᄋᄋ	"걍 예쁘기만 한디 ,,"
231	  김치왕	킹받는다
232	  맹꽁이	아이돌이 다양하고 예뻐보이는 표정 짓는건 기본중에 기본임ㅋㅋㅋ여기애들 열폭하는거 보니 다들 인생 개노답인가보네
233	  김자반	충분히 이쁜데 자꾸 치명적이고 이쁜 표정 과하게 지으려고 하니까 부자연스러워지고 그게 너무 보여서 ㅠㅠ볼때마다 이쁨보단 부자연스러운 표정연기가 먼저 보임 이게 한번 보이니까 자꾸 보여.. 뭐 팬들은 어째나 저째나 이쁘게 느껴지겠지만.. 시간 지나면서 좀 더 자연스러워지면 괜찮을듯 ㅠ 아이즈원땐 이런얘기 지금처럼 안나왔는데 요즘 갑자기 나오는거보면 얘도 아이브로 재데뷔하면서 나름 많이 연구하느라 과해진거같은데 님 그냥 자연스럽게 살짝 웃기만해도 충분히 이쁘셔요 ㅠㅠㅜ
234	  아주머니	예쁘기만 하구만 ️
235	  김모아	점점 프리지아 모습이 보이는건 나뿐인가
236	  바다포도	진짜 예쁘기만 한데 ㅋㅋㅋㅋㅋ 악플 질투 오지긴하다
237	  변또	홍수아표정이네 ㅋㅋㅋㅋㅋ
238	  ㅇ	아니 솔직히 난 갸륵한 표정 짓는 거 상관 없는데 노래 실력 좀 키웠으면;;
239	  김수민	으짜피 방송은 쇼맨쉽~~평범하면 평민~~니들 각시 만날때는 뽕맞은눈 피하고~~수술했건  말건 화장빨이던 겁나 이뿌다~~나락으로 가는건 한순간이니  이미지 관리 잘해서 오래 봅시다~~
240	  차구석 노래쟁이	무대엔딩전 멤버몰래 아이셔 하나씩 먹는듯
241	  chloii	무슨느낌이냐면 일부러 눈을 천천히 감을랑말랑 하다가 뜨는거 일부러 섹기유발하려는거같아서 너무 오글오글 그렇게 표정안해도 충분히 예쁜데 과해서 안타까움
242	  - day	"진짜 특히 원영이는 예쁜게 죄다 ㅠ 뭐가 그리 꼬우면 거북하다 킹받는다 소름돋는다ㅋㅋㅋ 개역겹다 19살에 저정도 커리어,아직 어리고 자기 원하는대로 스타일 바꾸고 천천히 자기가 알아서 자리 잡을 어린앤데 못잡아 먹어서 안달이네"
243	  쏘럭키걸	눈깔만 똑바로 떠주라 킹받음
244	  ᄋᄋᄋ	아이고~ 그럼 다른 아이돌들은 인위적인 웃음 전혀 없나봐요 워뇽이한테 열폭 그만~~
245	  김진범	그냥 숨만 쉬어도 예쁜데 왜 예쁜척을 해..... ㅉㅉ  걍 하고 싶은대로 자연스럽게 해!  자연스럽게!
246	  연리 yeon:lly	1:01 뭐지.. 모닝송인가
247	  울컥	머리 한쪽으로 남겨두는걸 좋아하는 편이구나
248	  이예찬	진짜 뭔가 kg받네
249	  성이름	갸륵수아 기억해줘 이냔들아 ㅠㅠ
250	  ksssßs	저런표정을 이쁜척 가식 이라생각하니 싫어하는듯 난 귀여운데  본인이쁜지아니그런건디
251	  김윤지	이쁜데 조금더 다양했으면..
252	  hoya4089	딴건 모르겠고 걍 얼굴이 미시아줌마 얼굴이 됐음ㅋㅋㅋ
253	  다루요daruyo	진짜 안했음 좋겠어 ㅋㅋ
254	  심진우	이게 대체 무슨표정이냐 좋다는거야 싫다는거야
255	  ᆞᆞ	입덕 영상인가효
256	  쭈니	나중에 나이먹고 본인영상 보면 좀 부끄럽겠다 아직 어리니까 그런거아닐까요?
257	  J H	저러다 짝눈되겠당
258	  Alkfjr Jsh	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
259	  유냐	초반엔 그러려니 했는데 요즘은 가식 같음..
260	  난힙할때슬픈춤을춰	걍 너무 어른스러운척 하는게 꼴받음 갸륵 ㄴㄴ 어른스런척 ㅇㅇ
261	  chi cham	내 생각엔 일레븐 컨셉 때문인 것 같은데.. 노래 가사가 '감히 누가 이렇게 날 설레게 할 줄'임. 엔딩 때 다른 멤버들도 다 도도한 표정 짓고 있음. 원영이는 원래 강아지처럼 처진 눈꼬리 가지고 있는데 이번 컨셉 이후로 아이라인 고양이처럼 빼서 더 표정이 부각되어 보임
262	  백종민	미치겠다
263	  병점아재	재밌어요
264	  2 D2	붓기빠지면 안그러니까 작작 괴롭혀라. 괴롭힐 권리있냐??
265	  나영	아니 근데 장원영이 저 표정을 짓든말든 뭔 상관임
266	  막국수	이젠 하다하다 표정가지고도 까네.. 정신차려라 좀.. 니네랑 일절 관련 없고 살면서 말도 섞어볼 일 없는 철저한 남한테 도대체 뭐가 그렇게 각박한거니?
267	  Hayne	와 진짜길당
268	  highness	본인의 표정을 나타낼순 없을까..? 너무 갸륵한 표정만 지으니까.. 볼때마다 거북할수 밖에 없다
269	  내가한국갑니다	존나 오르가즘 느끼는 표정이네
270	  뭘봐	프리지아를 닮으려고 하는거같음
271	  Till Max	그래서 갸륵한게 뭔 표정인데 ㅋㅋㅋㅋㅋㅋㅋ 불쌍하고 딱한게 맞는거지? ㅋㅋ
272	  또유레이리	왜케 이쁘냐 ㅠㅠ
273	  o o	사람 얼굴 보고 거북하네 뭐네 ㅇㅈㄹ... 열심히 원영이 이름 쳐서 이런 유튜브 눌러서 댓글 다는 너네들의 성실이 제일 거북하고 역겨움
274	  꾹꾹이	근데 이표정 하니깐 약간 프리지아보임
275	  xxmixx XX	그냥 예쁜데
276	  모모	나이에 비해 표정이  과한거같음 저러면 금방 질리지
277	  Seolhee Jeon	질투좀 그만해라
278	  King	급나이쁘다..
279	  ㅅㅇ	근데 저런 표정을 지어도 예쁜게 신기하다 내가 저런 표정 지으면 진짜 개밥맛이던데
280	  추추추추이	치명병
281	  백설	쌍수하니까 눈매가 더그래보임ㅠ아직 어려서 완급조절이 안되는 걸수도
282	  하늘sky	원래 청순하고 깨끗한 느낌이 강점이었는데 괜히 쌍수시키고 입술필러까지해서 인상이 살짝 느끼해짐. 필러로 인중도 살짝 길어지고.. (솔직히 더 예뻐지긴함 인형같이? 근데 원래 청순하고 깨끗한 이미지가 줄어들고 인스타 셀럽같은?ㅠ)시술은 20살 넘어서 해도될텐데 아쉽다. 프듀때랑 표정은 걍 비슷한거같은데 시술로 인상바뀌면서 사람들이 부담스러워보인다고 느끼는듯. 그래도 자리 완전 잡으면 그런 느낌도 줄어들듯..
283	  qkrgustjr3576	안해도 이쁜데작위적으로하니까 오글거리는듯
284	  H	갸륵 ㅇㅈㄹ...얘들아 꼽 좀 그만 줘라ㅋㅋㅋㅋ예쁘기만한데 뭐
285	  ㅜㅜ	눈에 힘이 부족한드ㅛ
286	  이갓이	이쁘구만 욕하는 애기들아 거울함보고 온나
287	  Soohyeon PARK	1:43아차차차 머리!!!!
288	  니들이상햌	만화같앙
289	  이영	장원영을 얼굴로 못 까니까 이제는 표정으로 까네 ㅋㅋㅋㅋ 표정이 어떻든 방구석 워리어들보다는 예쁨 ㅋㅋ
290	  유스타프	워낙 이쁜데 왜 저런표정을 하는지.. 오글거림
291	  꾸구	"댓글을 막던가 글을 내리던가 ,, 애 조롱해서 좋으신지?"
292	  직끔마!	옛날에 손담비 업신여기는표정처럼 유머로 넘어갈줄알았는데 너무 심하게까네
293	  쥬삥	지맘이지 상관이 많네 다들
294	  fck	너무 부자연스러움 ;;
295	  도개비	꺄륵
296	  25살이후거리에없을서연	헤르미온느가 왜 생각나지
297	  coroco 12	원래 불편한게 많은 사람들이라 표정가지고도 욕질이구나 ㅋㅋㅋㅋㅋㅋ원영이가 그러거나 말거나 악플러보단 백배 나은 인생 살고있으니 갸륵이든 뭐든 힘내라~
298	  도유연	1:46 아ㅅ..앗차차 맞다 내 머리
299	  류설은	배윤정: 원영아 너무 과해
300	  지희	1:21 눈썹 까딱
301	  눈강	ㅋㅋㅋ
302	  잭과에어팟	근디 개이쁜디
303	  ljlhh	프리지아 따라하는거 같네
304	  Zzzzzzzzrrfdre	프리원영
305	  김은정	노래연습 많이
306	  왕자림	나 저거 재채기하기 직전 표정인데..
307	  yun jb	ㅋㅋㅋㅋㅋㅋㅋ  씹인정
308	  김규림	중국3대미녀 같당
309	  잭스	장원영데뷔때부터 봐온 남자입장에서 존나 예쁘기만함 나이때마다 표현하고싶은 컨셉이 있는거고 얘는 아직 어림 그리고 립싱크하는 아이돌도 차고넘치는데 왜 얘만 못잡아먹어서 안달인지 모르겠음
310	  집가고싶다	데뷔 전부터 봐온 여자입장에서 존나 예쁨 사람들이 하도 그래서 다시 보니까 좀 느끼하긴 한데 욕 먹을 거리는 아니라고 생각함
311	  킹받는o3o	어림+예쁨+키 큼깔 게 없어서 표정으로 까는 중
312	  알감자	근데 갸륵마저 예쁨
313	  박세히	향기 없는 꽃 그리고 무대 봐도 늘 하는 거 똑같아서 지루하더라..똑같은 윙크.. 눈썹.. 재미없고 매력 없고
314	  단짠이	예쁜뎅
315	  Kwwuuu	아니 진짜 줫나이쁜데 왜 지랄덜임 진심으로 표정잘해서 더이쁘던데
316	  강민	이런 렉카 유튜버들은 장원영한테 열등감있냐?
317	  숄인	ㅈㄴ웃기다 프리지아 따라하는거
318	  전승환	장원영 정도 급인애가 프리지아따위를 따라하겠나ㅋㅋㅋㅋ  프리지아 넷플릭스 썸네일봐라 실물망
319	  숄인	 @전승환  ㅅㅂ근데 따라하는거 맞잖아 ㅋㅋㅋㅋㅋ장원영은 급이 어떤데 둘다 거기서거기지 ㅋㅋㅈㄴ웃기노
320	  전승환	 @숄인  ..?거기서 거기라고ㄷㄷㄷ 현존 원탑 아이돌이랑 비교하누..
321	  숄인	 @전승환  내가 언제 프리지아 이쁘다고 햇음? 걍 따라하는게 웃기다공 ㅎ
322	  ᄋᄋᄋ	아직 어린애한테 말이 심하네.. 이쁘기만 한디..
323	  유자	손담비 니가 감히 가 보이던데
324	  :-	항마력 딸림
325	  성은미	프리지아  따라하는거네
326	  ᄋᄋ	도대체 뭘 따라한다는거임 정확하게 뭘 따라하는지 좀 말해주세요 ㅠ?
327	  관리자	왜 맨날 고개를 오른쪽으로 내리고있냐 꼴보기싫다
328	  리트애	썸넬 토나온다
329	  hyun jung lim	잼민이???
330	  심바	이쁘기만 하구만
331	  ᄒᄒ	애초에 남의 딸 얼굴에 갸륵하다는 표현이 예의가 있는 거임? 전에 하던 얼굴이 낫다고 말하면 되는데. 무작정 아무 워딩으로나 하는 피드백은 그냥 상처되는 비난이에요 누가 본인 얼굴에 니 얼굴 갸륵해서 싫다고 하면 누구나 상처받음. 뇌 있으면 타인 좀 존중하며 사세요 자존감 낮아보임
332	  보난이	이쁜거 질투하는 쿵쾅이들 많네 ㅋㅋ
333	  Seolhee Jeon	댓들 열폭 오지네 걍 부러우면 부럽다고 하지
